test,department,origin_rule,origin,n
PT,COCUK SAGLIGI VE HAST. POL -1 (KD 2.KAT),R3_poliklinik_muayene,Outpatient,97
PT,KULAK BURUN BOGAZ HASTALIKLARI -12 (GNL 2.KAT),R5_numarali_brans_birimi,Outpatient,90
PT,KULAK BURUN BOGAZ HASTALIKLARI -14 (GNL 2.KAT),R5_numarali_brans_birimi,Outpatient,90
PT,COCUK SAGLIGI VE HAST POL. -15 (KD 2.KAT),R3_poliklinik_muayene,Outpatient,83
PT,KULAK BURUN BOGAZ HASTALIKLARI -5 (GNL 2.KAT),R5_numarali_brans_birimi,Outpatient,82
PT,KULAK BURUN BOGAZ HASTALIKLARI -9 (GNL 2.KAT),R5_numarali_brans_birimi,Outpatient,79
PT,ANESTEZI POL. - 1 (GNL 1.KAT),R3_poliklinik_muayene,Outpatient,78
PT,SASILIK - 1,R5_numarali_brans_birimi,Outpatient,77
PT,COCUK ACIL YESIL ALAN-1,R2_acil,Outpatient,76
PT,COCUK SAGLIGI VE HAST POL - 12 (KD 2.KAT),R3_poliklinik_muayene,Outpatient,74
PT,COCUK SAGLIGI VE HAST POL - 13 (KD 2.KAT),R3_poliklinik_muayene,Outpatient,71
PT,COCUK ACIL YESIL ALAN-2,R2_acil,Outpatient,70
PT,COCUK SAGLIGI VE HAST. POL. -9 (KD 2.KAT),R3_poliklinik_muayene,Outpatient,69
PT,KULAK BURUN BOGAZ HASTALIKLARI -2 (GNL 2.KAT),R5_numarali_brans_birimi,Outpatient,69
PT,COCUK SAGLIGI VE HAST. POL -2 (KD 2.KAT),R3_poliklinik_muayene,Outpatient,67
PT,COCUK SAGLIGI VE HAST. POL. -3 (KD 2.KAT),R3_poliklinik_muayene,Outpatient,67
PT,KULAK BURUN BOGAZ HASTALIKLARI -13 (GNL 2.KAT),R5_numarali_brans_birimi,Outpatient,65
PT,COCUK GOGUS HASTALIKLARI-2,R5_numarali_brans_birimi,Outpatient,61
PT,COCUK SAGLIGI VE HAST POL -17 (KD 2.KAT),R3_poliklinik_muayene,Outpatient,59
PT,KADIN DOGUM ACIL,R2_acil,Outpatient,59
PT,SOSYAL PEDIATRI POL.-2(KD 2.KAT),R3_poliklinik_muayene,Outpatient,56
PT,KULAK BURUN BOGAZ HASTALIKLARI -16 (GNL 2.KAT),R5_numarali_brans_birimi,Outpatient,55
PT,COCUK SAGLIGI VE HAST. POL -8 (KD 2.KAT),R3_poliklinik_muayene,Outpatient,54
PT,COCUK SAGLIGI VE HAST POL -14 (KD 2.KAT),R3_poliklinik_muayene,Outpatient,53
PT,ORTOPEDI POL. - 6 (ONK),R3_poliklinik_muayene,Outpatient,52
PT,COCUK ACIL YESIL ALAN-4,R2_acil,Outpatient,51
PT,COCUK SAGLIGI VE HAST POL -16 (KD 2.KAT),R3_poliklinik_muayene,Outpatient,50
PT,KULAK BURUN BOGAZ HASTALIKLARI -17 (GNL 2.KAT),R5_numarali_brans_birimi,Outpatient,49
PT,COCUK SAGLIGI VE HAST. POL. -7 (KD 2.KAT),R3_poliklinik_muayene,Outpatient,48
PT,KONTAKT LENS OKULOPLASTI(ONK 1.KAT),R5_numarali_brans_birimi,Outpatient,47
PT,ANESTEZI POL. - 2 (GNL 1.KAT),R3_poliklinik_muayene,Outpatient,46
PT,COCUK SAGLIGI VE HAST. POL. -11 (KD 2.KAT),R3_poliklinik_muayene,Outpatient,44
PT,ORTOPEDI POL. - 5 (ONK),R3_poliklinik_muayene,Outpatient,44
PT,PLASTIK VE ESTETIK CERRAHI POL-1,R3_poliklinik_muayene,Outpatient,41
PT,KULAK BURUN BOGAZ HASTALIKLARI -8 (GNL 2.KAT),R5_numarali_brans_birimi,Outpatient,40
PT,ORTOPEDI POL. - 1 (ONK),R3_poliklinik_muayene,Outpatient,37
PT,COCUK SAGLIGI VE HAST POL. -10 (KD 2.KAT),R3_poliklinik_muayene,Outpatient,35
PT,KULAK BURUN BOGAZ HASTALIKLARI - 15 (GNL 2.KAT),R5_numarali_brans_birimi,Outpatient,35
PT,ANESTEZI POL. - 3 (GNL 1.KAT),R3_poliklinik_muayene,Outpatient,33
PT,KULAK BURUN BOGAZ HASTALIKLARI -1 (GNL 2.KAT),R5_numarali_brans_birimi,Outpatient,33
